ID,Drug1,Drug2,cell_line,Bliss,classification
184208,VANDETANIB,MERCAPTOPURINE,MOLT-4,-8.42,antagonism
184209,VANDETANIB,MERCAPTOPURINE,MCF7,-7.01,antagonism
184210,VANDETANIB,MERCAPTOPURINE,NCIH23,-8.09,antagonism
184211,VANDETANIB,MERCAPTOPURINE,NCI\\/ADR-RES,-18.04,antagonism
184212,VANDETANIB,MERCAPTOPURINE,NCI-H322M,-18.18,antagonism
184213,VANDETANIB,MERCAPTOPURINE,NCI-H226,-14.24,antagonism
184214,VANDETANIB,MERCAPTOPURINE,OVCAR-4,-18.92,antagonism
184215,VANDETANIB,MERCAPTOPURINE,NCI-H460,-5.61,antagonism
184216,VANDETANIB,MERCAPTOPURINE,RPMI-8226,-33.56,antagonism
184217,VANDETANIB,MERCAPTOPURINE,OVCAR-8,-17.5,antagonism
184218,VANDETANIB,MERCAPTOPURINE,SF-295,-5.76,antagonism
184219,VANDETANIB,MERCAPTOPURINE,SF-268,-24.08,antagonism
184220,VANDETANIB,MERCAPTOPURINE,SK-OV-3,-18.2,antagonism
184221,VANDETANIB,MERCAPTOPURINE,SF-539,-13.28,antagonism
184222,VANDETANIB,MERCAPTOPURINE,SNB-75,-16.24,antagonism
184223,VANDETANIB,MERCAPTOPURINE,SW-620,-10.78,antagonism
184224,VANDETANIB,MERCAPTOPURINE,SR,-36.48,antagonism
184225,VANDETANIB,MERCAPTOPURINE,UACC-257,-11.67,antagonism
184226,VANDETANIB,MERCAPTOPURINE,U251,-13.36,antagonism
184227,VANDETANIB,MERCAPTOPURINE,T-47D,-4.2,antagonism
184228,VANDETANIB,MERCAPTOPURINE,MDA-MB-468,-27.67,antagonism
184229,VANDETANIB,MERCAPTOPURINE,BT-549,-18.82,antagonism
184230,VANDETANIB,MERCAPTOPURINE,TK-10,-22.99,antagonism
184231,VANDETANIB,MERCAPTOPURINE,MDA-MB-435,-31.86,antagonism
184232,VANDETANIB,MERCAPTOPURINE,M14,-18.4,antagonism
184233,VANDETANIB,MERCAPTOPURINE,UACC62,-18.82,antagonism
184234,VANDETANIB,MERCAPTOPURINE,NCI-H522,-18.94,antagonism
184235,VANDETANIB,MERCAPTOPURINE,OVCAR-5,-10.03,antagonism
184236,VANDETANIB,MERCAPTOPURINE,SK-MEL-5,-6.08,antagonism
184237,VANDETANIB,MERCAPTOPURINE,RXF 393,-13.75,antagonism
184238,VANDETANIB,MERCAPTOPURINE,PC-3,-5.15,antagonism
184239,VANDETANIB,MERCAPTOPURINE,SN12C,-17.93,antagonism
184240,VANDETANIB,MERCAPTOPURINE,CAKI-1,-18.17,antagonism
184241,VANDETANIB,MERCAPTOPURINE,MDA-MB-231,-36.09,antagonism
184242,VANDETANIB,MERCAPTOPURINE,HS 578T,-21.8,antagonism
184243,VANDETANIB,MERCAPTOPURINE,SK-MEL-28,-4.19,antagonism
184244,VANDETANIB,MERCAPTOPURINE,OVCAR3,-30.75,antagonism
184245,AXITINIB,MERCAPTOPURINE,SF-539,-23.73,antagonism
184246,AXITINIB,MERCAPTOPURINE,SK-OV-3,-24.6,antagonism
184247,AXITINIB,MERCAPTOPURINE,SNB-19,-6.88,antagonism
184248,AXITINIB,MERCAPTOPURINE,SNB-75,-18.17,antagonism
184249,AXITINIB,MERCAPTOPURINE,SR,-29.76,antagonism
184250,AXITINIB,MERCAPTOPURINE,SW-620,-8.93,antagonism
184251,AXITINIB,MERCAPTOPURINE,U251,-10.85,antagonism
184252,AXITINIB,MERCAPTOPURINE,UACC-257,-8.72,antagonism
184253,AXITINIB,MERCAPTOPURINE,MDA-MB-468,-29.03,antagonism
184254,AXITINIB,MERCAPTOPURINE,T-47D,-4.81,antagonism
184255,AXITINIB,MERCAPTOPURINE,TK-10,-30.65,antagonism
184256,AXITINIB,MERCAPTOPURINE,BT-549,-21.53,antagonism
184257,AXITINIB,MERCAPTOPURINE,M14,-19.91,antagonism
184258,AXITINIB,MERCAPTOPURINE,MDA-MB-435,-25.72,antagonism
184259,AXITINIB,MERCAPTOPURINE,NCI-H522,-16.07,antagonism
184260,AXITINIB,MERCAPTOPURINE,UACC62,-23.45,antagonism
184261,AXITINIB,MERCAPTOPURINE,SK-MEL-5,-8.08,antagonism
184262,AXITINIB,MERCAPTOPURINE,OVCAR-5,-10.63,antagonism
184263,AXITINIB,MERCAPTOPURINE,PC-3,-10.26,antagonism
184264,AXITINIB,MERCAPTOPURINE,RXF 393,-14.68,antagonism
184265,AXITINIB,MERCAPTOPURINE,SK-MEL-2,-3.34,antagonism
184266,AXITINIB,MERCAPTOPURINE,SN12C,-17.16,antagonism
184267,AXITINIB,MERCAPTOPURINE,UO-31,5.12,synergy
184268,AXITINIB,MERCAPTOPURINE,CAKI-1,-27,antagonism
184269,AXITINIB,MERCAPTOPURINE,HS 578T,-20.55,antagonism
184270,AXITINIB,MERCAPTOPURINE,MDA-MB-231,-37.39,antagonism
184271,AXITINIB,MERCAPTOPURINE,OVCAR3,-31.71,antagonism
184272,AXITINIB,MERCAPTOPURINE,786-0,-25.79,antagonism
184273,AXITINIB,MERCAPTOPURINE,A498,-3.77,antagonism
184274,AXITINIB,MERCAPTOPURINE,A549,-15.6,antagonism
184275,AXITINIB,MERCAPTOPURINE,ACHN,-5.9,antagonism
184276,AXITINIB,MERCAPTOPURINE,CCRF-CEM,-11.08,antagonism
184277,AXITINIB,MERCAPTOPURINE,COLO 205,-9.96,antagonism
184278,AXITINIB,MERCAPTOPURINE,DU-145,-15.27,antagonism
184279,AXITINIB,MERCAPTOPURINE,EKVX,-3.96,antagonism
184280,AXITINIB,MERCAPTOPURINE,HCT-15,-9.94,antagonism
184281,AXITINIB,MERCAPTOPURINE,HCT116,-9.4,antagonism
184282,AXITINIB,MERCAPTOPURINE,HL-60(TB),-5.66,antagonism
184283,AXITINIB,MERCAPTOPURINE,HOP-62,-13.96,antagonism
184284,AXITINIB,MERCAPTOPURINE,HOP-92,-25.94,antagonism
184285,AXITINIB,MERCAPTOPURINE,HT29,-16.5,antagonism
184286,AXITINIB,MERCAPTOPURINE,K-562,-14.11,antagonism
184287,AXITINIB,MERCAPTOPURINE,KM12,-14.68,antagonism
184288,AXITINIB,MERCAPTOPURINE,LOX IMVI,-6.75,antagonism
184289,AXITINIB,MERCAPTOPURINE,MALME-3M,-12.3,antagonism
184290,AXITINIB,MERCAPTOPURINE,MCF7,-11.3,antagonism
184291,AXITINIB,MERCAPTOPURINE,MOLT-4,-7.57,antagonism
184292,AXITINIB,MERCAPTOPURINE,NCI\\/ADR-RES,-13.6,antagonism
184293,AXITINIB,MERCAPTOPURINE,NCIH23,-9.7,antagonism
184294,AXITINIB,MERCAPTOPURINE,NCI-H226,-21.63,antagonism
184295,AXITINIB,MERCAPTOPURINE,NCI-H322M,-19.24,antagonism
184296,AXITINIB,MERCAPTOPURINE,NCI-H460,-8.98,antagonism
184297,AXITINIB,MERCAPTOPURINE,OVCAR-4,-16.05,antagonism
184298,AXITINIB,MERCAPTOPURINE,OVCAR-8,-18.92,antagonism
184299,AXITINIB,MERCAPTOPURINE,RPMI-8226,-39.72,antagonism
184300,AXITINIB,MERCAPTOPURINE,SF-268,-25.77,antagonism
184301,AXITINIB,MERCAPTOPURINE,SF-295,-5.78,antagonism
184302,TENIPOSIDE,IMATINIB,CAKI-1,8.64,synergy
184303,TENIPOSIDE,IMATINIB,UO-31,3.98,synergy
184304,TENIPOSIDE,IMATINIB,SN12C,5.02,synergy
184305,TENIPOSIDE,IMATINIB,PC-3,3.3,synergy
184306,TENIPOSIDE,IMATINIB,SK-MEL-5,-7.16,antagonism
184307,TENIPOSIDE,IMATINIB,OVCAR3,3.03,synergy
184308,TENIPOSIDE,IMATINIB,MDA-MB-231,6.52,synergy
184309,TENIPOSIDE,IMATINIB,UACC-257,-3.79,antagonism
184310,TENIPOSIDE,IMATINIB,U251,6.83,synergy
184311,TENIPOSIDE,IMATINIB,SW-620,5.76,synergy
184312,TENIPOSIDE,IMATINIB,SR,18.29,synergy
184313,TENIPOSIDE,IMATINIB,SNB-75,5.61,synergy
184314,TENIPOSIDE,IMATINIB,SNB-19,14.51,synergy
184315,TENIPOSIDE,IMATINIB,SK-OV-3,3.66,synergy
184316,TENIPOSIDE,IMATINIB,SF-539,-4.28,antagonism
184317,TENIPOSIDE,IMATINIB,UACC62,4.23,synergy
184318,TENIPOSIDE,IMATINIB,MDA-MB-435,-4.43,antagonism
184319,TENIPOSIDE,IMATINIB,M14,6.56,synergy
184320,TENIPOSIDE,IMATINIB,BT-549,9.3,synergy
184321,TENIPOSIDE,IMATINIB,TK-10,7.09,synergy
184322,TENIPOSIDE,IMATINIB,T-47D,3.14,synergy
184323,TENIPOSIDE,IMATINIB,MOLT-4,9.91,synergy
184324,TENIPOSIDE,IMATINIB,MCF7,5.75,synergy
184325,TENIPOSIDE,IMATINIB,MALME-3M,5.03,synergy
184326,TENIPOSIDE,IMATINIB,LOX IMVI,5.09,synergy
184327,TENIPOSIDE,IMATINIB,K-562,3.43,synergy
184328,TENIPOSIDE,IMATINIB,SF-295,7.96,synergy
184329,TENIPOSIDE,IMATINIB,RPMI-8226,4.79,synergy
184330,TENIPOSIDE,IMATINIB,OVCAR-8,4.63,synergy
184331,TENIPOSIDE,IMATINIB,OVCAR-4,3.91,synergy
184332,TENIPOSIDE,IMATINIB,NCI-H226,10.02,synergy
184333,TENIPOSIDE,IMATINIB,DU-145,7.29,synergy
184334,TENIPOSIDE,IMATINIB,CCRF-CEM,5.89,synergy
184335,TENIPOSIDE,IMATINIB,A549,5.54,synergy
184336,TENIPOSIDE,IMATINIB,IGROV1,6.56,synergy
184337,TENIPOSIDE,IMATINIB,HT29,8.89,synergy
184338,TENIPOSIDE,IMATINIB,HOP-92,4.15,synergy
184339,TENIPOSIDE,IMATINIB,HL-60(TB),4.97,synergy
184340,TENIPOSIDE,IMATINIB,HCT116,3.63,synergy
184341,TENIPOSIDE,IMATINIB,HCT-15,7.75,synergy
184342,TENIPOSIDE,IMATINIB,HCC-2998,7.23,synergy
184343,NAVELBINE DITARTRATE (TN),NSC-127716,OVCAR3,-3.16,antagonism
184344,NAVELBINE DITARTRATE (TN),NSC-127716,SK-MEL-28,5.93,synergy
184345,NAVELBINE DITARTRATE (TN),NSC-127716,PC-3,-4.85,antagonism
184346,NAVELBINE DITARTRATE (TN),NSC-127716,RXF 393,-4.57,antagonism
184347,NAVELBINE DITARTRATE (TN),NSC-127716,SK-MEL-5,7.1,synergy
184348,NAVELBINE DITARTRATE (TN),NSC-127716,CAKI-1,-6.91,antagonism
184349,NAVELBINE DITARTRATE (TN),NSC-127716,SN12C,-8.07,antagonism
184350,NAVELBINE DITARTRATE (TN),NSC-127716,BT-549,3.5,synergy
184351,NAVELBINE DITARTRATE (TN),NSC-127716,MDA-MB-468,-5.51,antagonism
184352,NAVELBINE DITARTRATE (TN),NSC-127716,T-47D,6.24,synergy
184353,NAVELBINE DITARTRATE (TN),NSC-127716,UACC62,-5.18,antagonism
184354,NAVELBINE DITARTRATE (TN),NSC-127716,MDA-MB-435,-8.32,antagonism
184355,NAVELBINE DITARTRATE (TN),NSC-127716,SNB-19,-4.37,antagonism
184356,NAVELBINE DITARTRATE (TN),NSC-127716,UACC-257,7.93,synergy
184357,NAVELBINE DITARTRATE (TN),NSC-127716,SR,-8.44,antagonism
184358,NAVELBINE DITARTRATE (TN),NSC-127716,SF-268,9.27,synergy
184359,NAVELBINE DITARTRATE (TN),NSC-127716,SF-295,-4.4,antagonism
184360,NAVELBINE DITARTRATE (TN),NSC-127716,RPMI-8226,4.3,synergy
184361,NAVELBINE DITARTRATE (TN),NSC-127716,LOX IMVI,-4.69,antagonism
184362,NAVELBINE DITARTRATE (TN),NSC-127716,KM12,-10.01,antagonism
184363,NAVELBINE DITARTRATE (TN),NSC-127716,NCIH23,5.81,synergy
184364,NAVELBINE DITARTRATE (TN),NSC-127716,MOLT-4,3.95,synergy
184365,NAVELBINE DITARTRATE (TN),NSC-127716,HL-60(TB),5.48,synergy
184366,NAVELBINE DITARTRATE (TN),NSC-127716,IGROV1,7,synergy
184367,NAVELBINE DITARTRATE (TN),NSC-127716,HOP-62,5.21,synergy
184368,NAVELBINE DITARTRATE (TN),NSC-127716,HOP-92,-6.71,antagonism
184369,NAVELBINE DITARTRATE (TN),NSC-127716,COLO 205,5.15,synergy
184370,CRIZOTINIB,MERCAPTOPURINE,HS 578T,-20.41,antagonism
184371,CRIZOTINIB,MERCAPTOPURINE,MDA-MB-231,-34.47,antagonism
184372,CRIZOTINIB,MERCAPTOPURINE,OVCAR3,-31.66,antagonism
184373,CRIZOTINIB,MERCAPTOPURINE,SK-MEL-28,-5.72,antagonism
184374,CRIZOTINIB,MERCAPTOPURINE,SN12C,-17.46,antagonism
184375,CRIZOTINIB,MERCAPTOPURINE,UO-31,5.46,synergy
184376,CRIZOTINIB,MERCAPTOPURINE,CAKI-1,-20.71,antagonism
184377,CRIZOTINIB,MERCAPTOPURINE,SK-MEL-5,-7.65,antagonism
184378,CRIZOTINIB,MERCAPTOPURINE,OVCAR-5,-10.37,antagonism
184379,CRIZOTINIB,MERCAPTOPURINE,PC-3,-9.91,antagonism
184380,CRIZOTINIB,MERCAPTOPURINE,RXF 393,-16.46,antagonism
184381,CRIZOTINIB,MERCAPTOPURINE,M14,-20.24,antagonism
184382,CRIZOTINIB,MERCAPTOPURINE,MDA-MB-435,-25.96,antagonism
184383,CRIZOTINIB,MERCAPTOPURINE,NCI-H522,-17.38,antagonism
184384,CRIZOTINIB,MERCAPTOPURINE,UACC62,-20.07,antagonism
184385,CRIZOTINIB,MERCAPTOPURINE,MDA-MB-468,-25.12,antagonism
184386,CRIZOTINIB,MERCAPTOPURINE,T-47D,-4.99,antagonism
184387,CRIZOTINIB,MERCAPTOPURINE,TK-10,-27.18,antagonism
184388,CRIZOTINIB,MERCAPTOPURINE,BT-549,-21.87,antagonism
184389,CRIZOTINIB,MERCAPTOPURINE,SR,-22.2,antagonism
184390,CRIZOTINIB,MERCAPTOPURINE,SW-620,-10.93,antagonism
184391,CRIZOTINIB,MERCAPTOPURINE,U251,-14.15,antagonism
184392,CRIZOTINIB,MERCAPTOPURINE,UACC-257,-11.19,antagonism
184393,CRIZOTINIB,MERCAPTOPURINE,SF-539,-11.69,antagonism
184394,CRIZOTINIB,MERCAPTOPURINE,SK-OV-3,-19.89,antagonism
184395,CRIZOTINIB,MERCAPTOPURINE,SNB-75,-17.99,antagonism
184396,CRIZOTINIB,MERCAPTOPURINE,OVCAR-8,-18.29,antagonism
184397,CRIZOTINIB,MERCAPTOPURINE,SF-268,-21.02,antagonism
184398,CRIZOTINIB,MERCAPTOPURINE,SF-295,-7.25,antagonism
184399,CRIZOTINIB,MERCAPTOPURINE,NCI-H226,-15.41,antagonism
184400,CRIZOTINIB,MERCAPTOPURINE,NCI-H322M,-19.71,antagonism
184401,CRIZOTINIB,MERCAPTOPURINE,NCI-H460,-4.66,antagonism
184402,CRIZOTINIB,MERCAPTOPURINE,OVCAR-4,-16.21,antagonism
184403,CRIZOTINIB,MERCAPTOPURINE,MCF7,-10.01,antagonism
184404,CRIZOTINIB,MERCAPTOPURINE,MOLT-4,-5.09,antagonism
184405,CRIZOTINIB,MERCAPTOPURINE,NCI\\/ADR-RES,-11.34,antagonism
184406,CRIZOTINIB,MERCAPTOPURINE,NCIH23,-6.95,antagonism
184407,CRIZOTINIB,MERCAPTOPURINE,K-562,-8.08,antagonism
184408,CRIZOTINIB,MERCAPTOPURINE,KM12,-9.45,antagonism
184409,CRIZOTINIB,MERCAPTOPURINE,LOX IMVI,-9.35,antagonism
184410,CRIZOTINIB,MERCAPTOPURINE,MALME-3M,-13.75,antagonism
184411,CRIZOTINIB,MERCAPTOPURINE,HOP-62,-15.62,antagonism
184412,CRIZOTINIB,MERCAPTOPURINE,HOP-92,-28.05,antagonism
184413,CRIZOTINIB,MERCAPTOPURINE,HT29,-14.92,antagonism
184414,CRIZOTINIB,MERCAPTOPURINE,HCC-2998,-16.82,antagonism
184415,CRIZOTINIB,MERCAPTOPURINE,HCT-15,-11.14,antagonism
184416,CRIZOTINIB,MERCAPTOPURINE,HCT116,-7.12,antagonism
184417,CRIZOTINIB,MERCAPTOPURINE,CCRF-CEM,-7.12,antagonism
184418,CRIZOTINIB,MERCAPTOPURINE,COLO 205,-7.92,antagonism
184419,CRIZOTINIB,MERCAPTOPURINE,DU-145,-15.77,antagonism
184420,CRIZOTINIB,MERCAPTOPURINE,786-0,-30.58,antagonism
184421,CRIZOTINIB,MERCAPTOPURINE,A498,-4.88,antagonism
184422,CRIZOTINIB,MERCAPTOPURINE,A549,-12.45,antagonism
184423,CRIZOTINIB,MERCAPTOPURINE,ACHN,-4.67,antagonism
184424,VISMODEGIB,MERCAPTOPURINE,MDA-MB-435,-32.13,antagonism
184425,VISMODEGIB,MERCAPTOPURINE,M14,-17.55,antagonism
184426,VISMODEGIB,MERCAPTOPURINE,UACC62,-20.76,antagonism
184427,VISMODEGIB,MERCAPTOPURINE,NCI-H522,-11.08,antagonism
184428,VISMODEGIB,MERCAPTOPURINE,T-47D,-3.48,antagonism
184429,VISMODEGIB,MERCAPTOPURINE,MDA-MB-468,-23.06,antagonism
184430,VISMODEGIB,MERCAPTOPURINE,BT-549,-19.27,antagonism
184431,VISMODEGIB,MERCAPTOPURINE,TK-10,-24.97,antagonism
184432,VISMODEGIB,MERCAPTOPURINE,SW-620,-7.15,antagonism
184433,VISMODEGIB,MERCAPTOPURINE,SR,-39.4,antagonism
184434,VISMODEGIB,MERCAPTOPURINE,UACC-257,-6.84,antagonism
184435,VISMODEGIB,MERCAPTOPURINE,U251,-13.18,antagonism
184436,VISMODEGIB,MERCAPTOPURINE,SK-OV-3,-20.03,antagonism
184437,VISMODEGIB,MERCAPTOPURINE,SF-539,-10.07,antagonism
184438,VISMODEGIB,MERCAPTOPURINE,SNB-75,-16.83,antagonism
184439,VISMODEGIB,MERCAPTOPURINE,SNB-19,-7.26,antagonism
184440,VISMODEGIB,MERCAPTOPURINE,MDA-MB-231,-33.7,antagonism
184441,VISMODEGIB,MERCAPTOPURINE,HS 578T,-23.06,antagonism
184442,VISMODEGIB,MERCAPTOPURINE,SK-MEL-28,-4.45,antagonism
184443,VISMODEGIB,MERCAPTOPURINE,OVCAR3,-27.92,antagonism
184444,VISMODEGIB,MERCAPTOPURINE,SN12C,-16.93,antagonism
184445,VISMODEGIB,MERCAPTOPURINE,SK-MEL-2,4.3,synergy
184446,VISMODEGIB,MERCAPTOPURINE,CAKI-1,-20.15,antagonism
184447,VISMODEGIB,MERCAPTOPURINE,OVCAR-5,-11.99,antagonism
184448,VISMODEGIB,MERCAPTOPURINE,SK-MEL-5,-7.59,antagonism
184449,VISMODEGIB,MERCAPTOPURINE,RXF 393,-14.03,antagonism
184450,VISMODEGIB,MERCAPTOPURINE,PC-3,-10.54,antagonism
184451,VISMODEGIB,MERCAPTOPURINE,HOP-92,-27.15,antagonism
184452,VISMODEGIB,MERCAPTOPURINE,HOP-62,-13.75,antagonism
184453,VISMODEGIB,MERCAPTOPURINE,IGROV1,-5.68,antagonism
184454,VISMODEGIB,MERCAPTOPURINE,HT29,-13.65,antagonism
184455,VISMODEGIB,MERCAPTOPURINE,HCT-15,-10.34,antagonism
184456,VISMODEGIB,MERCAPTOPURINE,HCC-2998,-8.09,antagonism
184457,VISMODEGIB,MERCAPTOPURINE,HCT116,-8.01,antagonism
184458,VISMODEGIB,MERCAPTOPURINE,COLO 205,-6.3,antagonism
184459,VISMODEGIB,MERCAPTOPURINE,CCRF-CEM,-6.89,antagonism
184460,VISMODEGIB,MERCAPTOPURINE,EKVX,-3.25,antagonism
184461,VISMODEGIB,MERCAPTOPURINE,DU-145,-13.38,antagonism
184462,VISMODEGIB,MERCAPTOPURINE,A498,-3.96,antagonism
184463,VISMODEGIB,MERCAPTOPURINE,786-0,-21.53,antagonism
184464,VISMODEGIB,MERCAPTOPURINE,A549,-9.06,antagonism
184465,VISMODEGIB,MERCAPTOPURINE,RPMI-8226,-41.98,antagonism
184466,VISMODEGIB,MERCAPTOPURINE,OVCAR-8,-14.5,antagonism
184467,VISMODEGIB,MERCAPTOPURINE,SF-295,-4.68,antagonism
184468,VISMODEGIB,MERCAPTOPURINE,SF-268,-23.06,antagonism
184469,VISMODEGIB,MERCAPTOPURINE,NCI-H322M,-20.16,antagonism
184470,VISMODEGIB,MERCAPTOPURINE,NCI-H226,-17.06,antagonism
184471,VISMODEGIB,MERCAPTOPURINE,OVCAR-4,-15.7,antagonism
184472,VISMODEGIB,MERCAPTOPURINE,NCI-H460,-7.13,antagonism
184473,VISMODEGIB,MERCAPTOPURINE,MOLT-4,-4.96,antagonism
184474,VISMODEGIB,MERCAPTOPURINE,MCF7,-3.84,antagonism
184475,VISMODEGIB,MERCAPTOPURINE,NCIH23,-8.72,antagonism
184476,VISMODEGIB,MERCAPTOPURINE,NCI\\/ADR-RES,-17.64,antagonism
184477,VISMODEGIB,MERCAPTOPURINE,KM12,-10.33,antagonism
184478,VISMODEGIB,MERCAPTOPURINE,K-562,-10.7,antagonism
184479,VISMODEGIB,MERCAPTOPURINE,MALME-3M,-15.98,antagonism
184480,VISMODEGIB,MERCAPTOPURINE,LOX IMVI,-13.17,antagonism
184481,VEMURAFENIB,MERCAPTOPURINE,COLO 205,-6.25,antagonism
184482,VEMURAFENIB,MERCAPTOPURINE,CCRF-CEM,-6.73,antagonism
184483,VEMURAFENIB,MERCAPTOPURINE,DU-145,-14.36,antagonism
184484,VEMURAFENIB,MERCAPTOPURINE,786-0,-29.2,antagonism
184485,VEMURAFENIB,MERCAPTOPURINE,ACHN,-6.95,antagonism
184486,VEMURAFENIB,MERCAPTOPURINE,A549,-11.73,antagonism
184487,VEMURAFENIB,MERCAPTOPURINE,HOP-92,-25.17,antagonism
184488,VEMURAFENIB,MERCAPTOPURINE,HOP-62,-12.55,antagonism
184489,VEMURAFENIB,MERCAPTOPURINE,IGROV1,-4.5,antagonism
184490,VEMURAFENIB,MERCAPTOPURINE,HT29,-7.55,antagonism
184491,VEMURAFENIB,MERCAPTOPURINE,HCT-15,-9.69,antagonism
184492,VEMURAFENIB,MERCAPTOPURINE,HCT116,-9.23,antagonism
184493,VEMURAFENIB,MERCAPTOPURINE,MOLT-4,-8.73,antagonism
184494,VEMURAFENIB,MERCAPTOPURINE,MCF7,-8.57,antagonism
184495,VEMURAFENIB,MERCAPTOPURINE,NCIH23,-8.95,antagonism
184496,VEMURAFENIB,MERCAPTOPURINE,NCI\\/ADR-RES,-11.12,antagonism
184497,VEMURAFENIB,MERCAPTOPURINE,KM12,-16.36,antagonism
184498,VEMURAFENIB,MERCAPTOPURINE,K-562,-11.74,antagonism
184499,VEMURAFENIB,MERCAPTOPURINE,MALME-3M,-6.04,antagonism
184500,VEMURAFENIB,MERCAPTOPURINE,OVCAR-8,-19.94,antagonism
184501,VEMURAFENIB,MERCAPTOPURINE,SF-295,-7.05,antagonism
184502,VEMURAFENIB,MERCAPTOPURINE,SF-268,-27.81,antagonism
184503,VEMURAFENIB,MERCAPTOPURINE,NCI-H322M,-16.95,antagonism
184504,VEMURAFENIB,MERCAPTOPURINE,NCI-H226,-18.72,antagonism
184505,VEMURAFENIB,MERCAPTOPURINE,OVCAR-4,-16.21,antagonism
184506,VEMURAFENIB,MERCAPTOPURINE,NCI-H460,-5.48,antagonism
184507,VEMURAFENIB,MERCAPTOPURINE,SW-620,-7.32,antagonism
184508,VEMURAFENIB,MERCAPTOPURINE,SR,-35.43,antagonism
184509,VEMURAFENIB,MERCAPTOPURINE,UACC-257,-9.99,antagonism
184510,VEMURAFENIB,MERCAPTOPURINE,U251,-13.88,antagonism
184511,VEMURAFENIB,MERCAPTOPURINE,SK-OV-3,-22.71,antagonism
184512,VEMURAFENIB,MERCAPTOPURINE,SF-539,-8.58,antagonism
184513,VEMURAFENIB,MERCAPTOPURINE,SNB-75,-18.27,antagonism
184514,VEMURAFENIB,MERCAPTOPURINE,MDA-MB-435,-24.92,antagonism
184515,VEMURAFENIB,MERCAPTOPURINE,M14,-15.54,antagonism
184516,VEMURAFENIB,MERCAPTOPURINE,UACC62,-8.53,antagonism
184517,VEMURAFENIB,MERCAPTOPURINE,NCI-H522,-13.77,antagonism
184518,VEMURAFENIB,MERCAPTOPURINE,T-47D,-3.24,antagonism
184519,VEMURAFENIB,MERCAPTOPURINE,MDA-MB-468,-20.66,antagonism
184520,VEMURAFENIB,MERCAPTOPURINE,BT-549,-19.84,antagonism
184521,VEMURAFENIB,MERCAPTOPURINE,TK-10,-27.19,antagonism
184522,VEMURAFENIB,MERCAPTOPURINE,SN12C,-16.96,antagonism
184523,VEMURAFENIB,MERCAPTOPURINE,CAKI-1,-22.87,antagonism
184524,VEMURAFENIB,MERCAPTOPURINE,UO-31,3.76,synergy
184525,VEMURAFENIB,MERCAPTOPURINE,OVCAR-5,-12.51,antagonism
184526,VEMURAFENIB,MERCAPTOPURINE,SK-MEL-5,-6.99,antagonism
184527,VEMURAFENIB,MERCAPTOPURINE,RXF 393,-8.64,antagonism
184528,VEMURAFENIB,MERCAPTOPURINE,PC-3,-9.9,antagonism
184529,VEMURAFENIB,MERCAPTOPURINE,MDA-MB-231,-33.85,antagonism
184530,VEMURAFENIB,MERCAPTOPURINE,HS 578T,-25.72,antagonism
184531,VEMURAFENIB,MERCAPTOPURINE,SK-MEL-28,-9.95,antagonism
184532,VEMURAFENIB,MERCAPTOPURINE,OVCAR3,-30.02,antagonism
184533,ABIRATERONE,MERCAPTOPURINE,MOLT-4,-9.23,antagonism
184534,ABIRATERONE,MERCAPTOPURINE,MCF7,-13.27,antagonism
184535,ABIRATERONE,MERCAPTOPURINE,NCIH23,-9.6,antagonism
184536,ABIRATERONE,MERCAPTOPURINE,NCI\\/ADR-RES,-18.58,antagonism
184537,ABIRATERONE,MERCAPTOPURINE,KM12,-11.22,antagonism
184538,ABIRATERONE,MERCAPTOPURINE,K-562,-12.29,antagonism
184539,ABIRATERONE,MERCAPTOPURINE,MALME-3M,-14.36,antagonism
184540,ABIRATERONE,MERCAPTOPURINE,LOX IMVI,-12.81,antagonism
184541,ABIRATERONE,MERCAPTOPURINE,RPMI-8226,-25.05,antagonism
184542,ABIRATERONE,MERCAPTOPURINE,OVCAR-8,-18.8,antagonism
184543,ABIRATERONE,MERCAPTOPURINE,SF-295,-6.32,antagonism
184544,ABIRATERONE,MERCAPTOPURINE,SF-268,-25.45,antagonism
184545,ABIRATERONE,MERCAPTOPURINE,NCI-H322M,-21.08,antagonism
184546,ABIRATERONE,MERCAPTOPURINE,NCI-H226,-17.28,antagonism
184547,ABIRATERONE,MERCAPTOPURINE,OVCAR-4,-15.82,antagonism
184548,ABIRATERONE,MERCAPTOPURINE,NCI-H460,-5.72,antagonism
184549,ABIRATERONE,MERCAPTOPURINE,COLO 205,-6.68,antagonism
184550,ABIRATERONE,MERCAPTOPURINE,CCRF-CEM,-10.53,antagonism
184551,ABIRATERONE,MERCAPTOPURINE,DU-145,-15.19,antagonism
184552,ABIRATERONE,MERCAPTOPURINE,A498,-5.28,antagonism
184553,ABIRATERONE,MERCAPTOPURINE,786-0,-26.44,antagonism
184554,ABIRATERONE,MERCAPTOPURINE,A549,-15.41,antagonism
184555,ABIRATERONE,MERCAPTOPURINE,HOP-92,-24.36,antagonism
184556,ABIRATERONE,MERCAPTOPURINE,HOP-62,-14.9,antagonism
184557,ABIRATERONE,MERCAPTOPURINE,HT29,-13.68,antagonism
184558,ABIRATERONE,MERCAPTOPURINE,HCT-15,-5.9,antagonism
184559,ABIRATERONE,MERCAPTOPURINE,HCC-2998,-19.74,antagonism
